New Run at  02/01/2016 09:16:48
, Time, RandomReward; CFUCBReward; 
data,1232795508000,22;56707;30
data,1267426303000,22;20281;30
data,1238013337000,22;12567;30
data,1286157888000,22;100017;30
data,1288617755000,22;44342;30
data,1287586388000,22;103678;30
data,1286800818000,22;13630;30
data,1286223397000,22;107140;30
data,1253536144000,23;82899;30
data,1288878156000,23;98080;30
data,1242882825000,23;91003;30
data,1252492870000,23;52283;30
data,1288965747000,23;42675;30
data,1248209604000,23;44067;31
data,1265900333000,23;26360;31
data,1276593337000,23;51722;31
data,1285621618000,23;85908;31
data,1274092533000,23;12831;31
data,1251826322000,23;71438;31
data,1257163725000,23;28576;31
data,1288442150000,23;11795;32
data,1218012478000,23;53824;32
data,1287103507000,23;74464;32
data,1278576086000,23;78822;32
data,1281313731000,23;38661;32
data,1273401433000,23;89930;32
data,1284895767000,23;57553;32
data,1272360364000,23;62463;32
data,1278331308000,23;50681;32
data,1280352475000,23;42919;32
data,1282770952000,23;82801;32
data,1287575109000,23;87874;32
data,1287266027000,23;16097;32
data,1274838681000,23;77414;32
data,1189472814000,23;19941;32
data,1280253236000,23;94877;32
data,1287689181000,23;22419;32
data,1268747523000,23;11468;32
data,1289227064000,23;32230;32
data,1287522221000,23;38605;32
data,1269474459000,23;54578;32
data,1288713253000,23;84845;32
data,1288390504000,23;74299;32
data,1284025738000,23;86022;32
data,1256422188000,23;93743;32
data,1288277366000,23;3933;32
data,1281447087000,23;79870;32
data,1288209097000,23;68422;32
data,1267362774000,23;75812;32
data,1206368611000,23;47984;32
data,1286700399000,23;44182;32
data,1287368526000,23;31808;32
data,1190756323000,23;45511;32
data,1249906651000,23;98798;32
data,1253610615000,23;49989;32
data,1285982564000,23;79598;32
data,1271690748000,23;53436;32
data,1286369038000,23;87707;32
data,1282068790000,23;46105;32
data,1225908583000,23;49003;32
data,1267750661000,23;45697;32
data,1254305192000,23;42301;32
data,1285665220000,23;29946;32
data,1286109707000,23;63774;33
data,1282223331000,23;40430;33
data,1288384969000,23;50616;33
data,1285324313000,23;86026;33
data,1243298953000,23;27390;33
data,1270123451000,23;78149;33
data,1276243410000,23;59362;33
data,1270764323000,23;52123;33
data,1280300954000,23;2303;33
data,1276794786000,23;80707;33
data,1174517141000,23;36425;33
data,1288915614000,23;87605;33
data,1264259037000,23;61472;33
data,1288812473000,23;14830;33
data,1288018809000,23;42094;33
data,1286867523000,23;29637;33
data,1289221310000,23;46868;33
data,1283379040000,23;75291;33
data,1288642447000,23;94030;33
data,1274139684000,23;78629;33
data,1282229316000,23;62172;33
data,1280411726000,23;88582;33
data,1288394802000,23;84226;33
data,1265589789000,23;89867;33
data,1286120005000,23;31240;33
data,1285596216000,23;64342;33
data,1282714516000,23;101300;33
data,1258127703000,23;102803;34
data,1287295350000,23;42453;34
data,1271272138000,23;44956;34
data,1288236285000,23;4706;34
data,1249610930000,23;33935;34
data,1273952349000,23;54548;34
data,1288254328000,23;48868;34
data,1287050031000,23;99479;34
data,1275305343000,23;49191;34
data,1220645896000,23;15534;34
data,1287774068000,24;66917;34
data,1264643108000,25;73698;34
data,1289247572000,25;55949;34
data,1288965647000,25;83790;34
data,1262997742000,25;41218;34
data,1265187054000,25;67355;34
data,1269366902000,25;83777;34
data,1288648463000,25;67529;34
data,1270788203000,25;63542;34
data,1288371708000,25;43366;34
data,1274285343000,25;95147;34
data,1289306791000,25;68153;34
data,1288109434000,25;44181;34
data,1284103975000,25;76641;34
data,1288188710000,25;25108;34
data,1281366782000,25;19253;34
data,1253114631000,25;105125;34
data,1286414369000,25;72603;34
data,1242410543000,25;19280;34
data,1286623429000,25;57445;34
data,1231487512000,25;65601;34
data,1287573962000,25;37383;34
data,1280477323000,25;107122;34
data,1287500703000,25;74871;34
data,1236926467000,25;98793;34
data,1288724645000,25;76485;34
data,1271415158000,25;67332;34
data,1285115508000,25;51670;34
data,1171469695000,25;33220;34
data,1288725854000,25;29173;35
data,1286187948000,25;92788;35
data,1272898418000,25;8693;35
data,1271249708000,25;105113;35
data,1235032802000,25;3890;35
data,1236061219000,25;46617;35
data,1231260555000,25;67745;35
data,1285934216000,25;93678;35
data,1287173705000,25;69509;35
data,1272297100000,25;14976;35
data,1268176422000,25;45740;35
data,1285870588000,25;84150;35
data,1287541706000,25;99143;35
data,1272590016000,25;51855;35
data,1288082370000,25;32333;35
data,1281901381000,25;83780;35
data,1249474805000,25;24992;35
data,1288704248000,25;83046;35
data,1289150228000,25;19794;35
data,1285327714000,25;70664;35
data,1263781300000,25;7020;35
data,1288555100000,25;2651;35
data,1280133942000,25;106527;35
data,1287974314000,25;51812;35
data,1223522202000,25;11863;35
data,1288804850000,25;69889;36
data,1175865290000,25;95396;36
data,1285615494000,25;43737;36
data,1169508378000,25;74340;37
data,1282994626000,25;37782;37
data,1289217110000,25;94386;37
data,1273782874000,25;21065;37
data,1283134025000,25;64329;37
data,1285865997000,25;13627;37
data,1281695283000,25;81593;37
data,1284857654000,25;22854;38
data,1288085630000,25;102597;38
data,1274966829000,25;56143;38
data,1281322934000,25;52469;38
data,1223035485000,25;49945;38
data,1269824503000,25;36437;38
data,1288570890000,25;59687;38
data,1218223756000,25;96768;38
data,1245680967000,25;14887;39
data,1288658914000,25;94439;39
data,1288839531000,25;4845;39
data,1274120953000,25;90256;39
data,1279310532000,25;96540;39
data,1242129619000,25;70647;39
data,1272868785000,25;77928;39
data,1249876086000,25;22478;39
data,1288985646000,25;10231;39
data,1272645761000,25;7959;39
data,1285052837000,25;27078;39
data,1265157481000,25;79801;40
data,1285786038000,25;100997;40
data,1273046827000,25;51346;40
data,1272802414000,25;53173;41
data,1284674228000,25;96934;41
data,1279906589000,25;103449;41
data,1265637323000,25;15140;41
data,1288732364000,25;34689;41
data,1267320347000,25;22290;41
data,1255408145000,25;893;41
data,1287500958000,25;90931;41
data,1262611034000,25;4391;41
data,1218822280000,26;75390;41
data,1181831396000,26;93238;41
data,1288804876000,26;34918;41
data,1285852530000,26;63797;41
data,1286876470000,26;56198;41
data,1285690589000,26;19130;41
data,1255404895000,26;6727;41
data,1287135105000,26;8549;41
data,1232003025000,26;2396;41
